ts,rate
1777680000000,-4.6111042208e-06
1777708800000,-3.73229218859e-05
1777737600000,-1.64155085898e-05
1777766400000,6.87431347917e-05
1777795200000,4.73269853477e-05
1777824000000,3.47533711505e-05
1777852800000,4.33119174545e-05
1777881600000,9.25831333666e-05
1777910400000,-3.79589702042e-05
1777939200000,3.448414686e-05
1777968000000,-1.75982491146e-05
1777996800000,9.1635663424e-06
1778025600000,7.33203909689e-05
1778054400000,3.77750620997e-05
1778083200000,6.4614442775e-05
1778112000000,8.29011767971e-05
1778140800000,-3.25709125447e-05
1778169600000,5.75575907038e-05
1778198400000,0.0001
1778227200000,2.98468974828e-05
1778256000000,4.80515607356e-05
1778284800000,0.0001
1778313600000,6.41336774683e-05
1778342400000,0.0001
1778371200000,7.45734894067e-05
1778400000000,0.0001
1778428800000,6.72986556865e-05
1778457600000,7.66505530419e-05
1778486400000,0.0001
1778515200000,5.16166254117e-05
1778544000000,6.79529961061e-05
1778572800000,5.04630674207e-05
1778601600000,5.24797438143e-05
1778630400000,6.54250469709e-05
1778659200000,4.50088158893e-05
1778688000000,7.51832237413e-05
1778716800000,7.16729579308e-05
1778745600000,1.17606729489e-05
1778774400000,3.10897597488e-05
1778803200000,5.70578946736e-05
1778832000000,2.48493601359e-05
1778860800000,9.41514612537e-05
1778889600000,6.08204351308e-05
1778918400000,5.75049995899e-05
1778947200000,7.11006759472e-05
1778976000000,3.92258855721e-05
1779004800000,4.24668727795e-05
1779033600000,3.47457323078e-05
1779062400000,2.32834077609e-05
1779091200000,-1.87815821592e-05
1779120000000,5.60696543932e-05
1779148800000,5.89555199289e-05
1779177600000,-5.4642659464e-06
1779206400000,7.82644134814e-05
1779235200000,8.75858533466e-05
1779264000000,1.14121420981e-05
1779292800000,3.70377833305e-05
1779321600000,8.29962833693e-05
1779350400000,7.52942778924e-05
1779379200000,6.33757707765e-05
1779408000000,7.92673462011e-05
1779436800000,8.38193480893e-05
1779465600000,7.87636148286e-05
1779494400000,8.35339606917e-05
1779523200000,0.0001
1779552000000,3.394482395e-07
1779580800000,2.49814587264e-05
1779609600000,5.32359813552e-05
1779638400000,7.58374952731e-05
1779667200000,5.50143439181e-05
1779696000000,1.88964785597e-05
1779724800000,-4.173223397e-06
1779753600000,3.44424927002e-05
1779782400000,9.1829229402e-06
1779811200000,3.87262335233e-05
1779840000000,8.93770599704e-05
1779868800000,4.66493959959e-05
1779897600000,8.108004224e-05
1779926400000,0.0001
1779955200000,9.13126215907e-05
1779984000000,7.12397320746e-05
1780012800000,0.0001
1780041600000,6.019456768e-05
1780070400000,7.00212118699e-05
1780099200000,7.06597149677e-05
1780128000000,5.05646855023e-05
1780156800000,4.16068357482e-05
1780185600000,4.89583104753e-05
1780214400000,7.46831344452e-05
1780243200000,1.31840824027e-05
1780272000000,0.0001
1780300800000,9.61547649145e-05
1780329600000,0.0001
1780358400000,0.0001
1780387200000,0.0001
1780416000000,0.0001
1780444800000,5.19285792029e-05
1780473600000,3.73100333606e-05
1780502400000,9.77192263034e-05
1780531200000,7.33014954258e-05
1780560000000,5.24178493983e-05
1780588800000,4.41941632716e-05
1780617600000,3.04503815552e-05
1780646400000,2.6305016458e-05
1780675200000,-0.0001020789452607
1780704000000,-0.0001117688446398
1780732800000,-0.0001360611924772
