ts,rate
1777622400000,7.4343976582e-06
1777636800000,2.9510150104e-05
1777651200000,-5.76838960755e-05
1777665600000,-4.522563423e-07
1777680000000,5e-05
1777694400000,-9.235547348e-06
1777708800000,5e-05
1777723200000,5e-05
1777737600000,5e-05
1777752000000,5e-05
1777766400000,5e-05
1777780800000,5e-05
1777795200000,3.0681843202e-06
1777809600000,5e-05
1777824000000,-5.036207984e-06
1777838400000,5e-05
1777852800000,5e-05
1777867200000,5e-05
1777881600000,5e-05
1777896000000,-1.58346085604e-05
1777910400000,1.56796199386e-05
1777924800000,-6.26591031857e-05
1777939200000,3.99210826209e-05
1777953600000,5e-05
1777968000000,4.68008853587e-05
1777982400000,-9.25303938569e-05
1777996800000,5e-05
1778011200000,5e-05
1778025600000,5e-05
1778040000000,5e-05
1778054400000,5e-05
1778068800000,3.08522976013e-05
1778083200000,6.2296130677e-06
1778097600000,5e-05
1778112000000,5e-05
1778126400000,-3.66332732866e-05
1778140800000,-7.3786178156e-06
1778155200000,5e-05
1778169600000,-0.0001510214525937
1778184000000,4.49859103504e-05
1778198400000,5e-05
1778212800000,-3.52270936356e-05
1778227200000,-4.48948655827e-05
1778241600000,-2.62574822186e-05
1778256000000,-6.84503144922e-05
1778270400000,5e-05
1778284800000,5e-05
1778299200000,5e-05
1778313600000,5e-05
1778328000000,5e-05
1778342400000,5e-05
1778356800000,5e-05
1778371200000,5e-05
1778385600000,5e-05
1778400000000,5e-05
1778414400000,5e-05
1778428800000,5e-05
1778443200000,5e-05
1778457600000,5e-05
1778472000000,-0.0001032188852816
1778486400000,-3.37552311905e-05
1778500800000,6.5267375781e-06
1778515200000,-9.42811913127e-05
1778529600000,-7.38195160727e-05
1778544000000,1.94578410941e-05
1778558400000,5e-05
1778572800000,-1.302496143e-07
1778587200000,5e-05
1778601600000,5e-05
1778616000000,-3.74378756773e-05
1778630400000,-0.0001148842828419
1778644800000,-2.81283777177e-05
1778659200000,5e-05
1778673600000,-3.88467634284e-05
1778688000000,5e-05
1778702400000,5e-05
1778716800000,5e-05
1778731200000,5e-05
1778745600000,5e-05
1778760000000,5e-05
1778774400000,-1.86032282461e-05
1778788800000,5e-05
1778803200000,5e-05
1778817600000,-1.43255379747e-05
1778832000000,5e-05
1778846400000,3.59180490564e-05
1778860800000,5e-05
1778875200000,5e-05
1778889600000,5e-05
1778904000000,5e-05
1778918400000,5e-05
1778932800000,5e-05
1778947200000,-0.0001162012828288
1778961600000,1.80875408229e-05
1778976000000,5e-05
1778990400000,5e-05
1779004800000,-0.0003292558841198
1779019200000,-8.95069871493e-05
1779033600000,5e-05
1779048000000,5e-05
1779062400000,5e-05
1779076800000,5e-05
1779091200000,5e-05
1779105600000,5e-05
1779120000000,5e-05
1779134400000,5e-05
1779148800000,5e-05
1779163200000,5e-05
1779177600000,5e-05
1779192000000,5e-05
1779206400000,-0.0001229202727028
1779220800000,-0.0001396005271588
1779235200000,-0.0001070617820857
1779249600000,5e-05
1779264000000,5e-05
1779278400000,-0.000152530489991
1779292800000,5e-05
1779307200000,5e-05
1779321600000,5e-05
1779336000000,-5.42028100343e-05
1779350400000,-6.62498936701e-05
1779364800000,-7.97892129725e-05
1779379200000,5e-05
1779393600000,5e-05
1779408000000,5e-05
1779422400000,5e-05
1779436800000,-4.6479969333e-05
1779451200000,-0.000108485041867
1779465600000,5e-05
1779480000000,5e-05
1779494400000,5e-05
1779508800000,-5.44871216309e-05
1779523200000,-1.91169447606e-05
1779537600000,-5.99449526433e-05
1779552000000,-0.0001905767135576
1779566400000,5e-05
1779580800000,5e-05
1779595200000,-6.29767669462e-05
1779609600000,5e-05
1779624000000,-1.12157664561e-05
1779638400000,5e-05
1779652800000,5e-05
1779667200000,4.1077196254e-05
1779681600000,5e-05
1779696000000,-0.0002205430997636
1779710400000,-0.0001194629460329
1779724800000,-1.270540398e-05
1779739200000,5e-05
1779753600000,5e-05
1779768000000,5e-05
1779782400000,5e-05
1779796800000,1.2598788845e-06
1779811200000,-1.68709778285e-05
1779825600000,5e-05
1779840000000,5e-05
1779854400000,-0.0001434148659414
1779868800000,5e-05
1779883200000,5e-05
1779897600000,5e-05
1779912000000,5e-05
1779926400000,5e-05
1779940800000,5e-05
1779955200000,5e-05
1779969600000,5e-05
1779984000000,9.200864247e-07
1779998400000,-0.0001491304805927
1780012800000,5e-05
1780027200000,2.89471752491e-05
1780041600000,-9.32777398231e-05
1780056000000,-4.00250549645e-05
1780070400000,4.3060011384e-05
1780084800000,5e-05
1780099200000,5e-05
1780113600000,5e-05
1780128000000,5e-05
1780142400000,5.6546451056e-06
1780156800000,-7.32868626952e-05
1780171200000,-1.75641087145e-05
1780185600000,-0.0003358827545944
1780200000000,5e-05
1780214400000,4.0783102065e-06
1780228800000,-4.4405738048e-06
1780243200000,5e-05
1780257600000,-6.45859392012e-05
1780272000000,-7.96812290487e-05
1780286400000,5e-05
1780300800000,5e-05
1780315200000,5e-05
1780329600000,5e-05
1780344000000,-9.07367497326e-05
1780358400000,1.3509825774e-06
1780372800000,-7.96289741894e-05
1780387200000,-9.87333508339e-05
1780401600000,5e-05
1780416000000,5e-05
1780430400000,5e-05
1780444800000,5e-05
1780459200000,5e-05
1780473600000,-0.0001084859779007
1780488000000,3.7588858802e-05
1780502400000,5e-05
1780516800000,5e-05
1780531200000,5e-05
1780545600000,5e-05
1780560000000,5e-05
1780574400000,5e-05
1780588800000,4.05380797265e-05
1780603200000,5e-05
1780617600000,5e-05
1780632000000,5e-05
1780646400000,1.3480713039e-05
1780660800000,-5.73816642914e-05
1780675200000,2.52700269994e-05
1780689600000,4.43437942169e-05
1780704000000,2.22330741954e-05
1780718400000,5e-05
1780732800000,-1.29331630906e-05
1780747200000,1.22868549957e-05
1780761600000,-0.0001097944068698
1780776000000,-8.26919579074e-05
1780790400000,-0.0001427322489978
1780804800000,-4.44554660127e-05
1780819200000,-8.35344211732e-05
1780833600000,-2.14353949783e-05
1780848000000,2.21554590761e-05
1780862400000,-7.75128216496e-05
1780876800000,-6.15191301925e-05
1780891200000,-4.88499698048e-05
1780905600000,5e-05
1780920000000,5e-05
1780934400000,5e-05
1780948800000,5e-05
1780963200000,5e-05
1780977600000,2.2790352612e-05
1780992000000,5e-05
1781006400000,5e-05
1781020800000,5e-05
1781035200000,4.34082493347e-05
1781049600000,5e-05
1781064000000,-3.72609687335e-05
1781078400000,1.44460634274e-05
1781092800000,-3.05474224698e-05
1781107200000,-3.62316150157e-05
1781121600000,5e-05
1781136000000,-0.0001075808907426
1781150400000,-6.68917042766e-05
1781164800000,5e-05
1781179200000,5e-05
1781193600000,5e-05
1781208000000,5e-05
1781222400000,5e-05
1781236800000,5e-05
1781251200000,2.98514057028e-05
1781265600000,5e-05
1781280000000,5e-05
1781294400000,5e-05
1781308800000,5e-05
1781323200000,1.10125912273e-05
1781337600000,2.23153019959e-05
1781352000000,5e-05
1781366400000,5e-05
1781380800000,1.43271070974e-05
1781395200000,-3.47545323555e-05
1781409600000,-3.62667553392e-05
1781424000000,-9.34936067074e-05
1781438400000,-0.0001014112811587
1781452800000,-0.0001190459774256
1781467200000,2.18059353913e-05
1781481600000,5e-05
1781496000000,5e-05
1781510400000,5e-05
1781524800000,5e-05
1781539200000,4.54750349695e-05
1781553600000,5e-05
1781568000000,5e-05
1781582400000,4.12949478834e-05
1781596800000,-5.2746954824e-06
1781611200000,5e-05
1781625600000,-1.1998162339e-06
1781640000000,5e-05
1781654400000,5e-05
1781668800000,5e-05
1781683200000,-6.00597715475e-05
1781697600000,7.867927196e-07
1781712000000,5e-05
1781726400000,-3.63602120795e-05
1781740800000,-0.0001643025457447
1781755200000,5e-05
1781769600000,-0.0001266353642262
1781784000000,2.2996705419e-05
1781798400000,5e-05
1781812800000,5.0339127908e-06
1781827200000,5e-05
1781841600000,5e-05
1781856000000,-7.02443398235e-05
1781870400000,-0.0001506860282045
1781884800000,5e-05
1781899200000,3.0593613695e-06
1781913600000,-3.38774040473e-05
1781928000000,-3.29738229251e-05
1781942400000,-3.75436071273e-05
1781956800000,-5.40952555034e-05
1781971200000,-4.71520542387e-05
1781985600000,-0.0001602047367066
1782000000000,1.11650442165e-05
1782014400000,2.10025500193e-05
1782028800000,-2.6405561968e-05
1782043200000,1.4797795599e-05
1782057600000,5e-05
1782072000000,5e-05
1782086400000,-2.68185217193e-05
1782100800000,-1.1884160258e-06
1782115200000,5e-05
1782129600000,-6.2616078482e-06
1782144000000,-0.0001146965623989
1782158400000,-1.64555462514e-05
1782172800000,-0.0001071501212997
1782187200000,5e-05
1782201600000,5e-05
1782216000000,-4.5703082848e-06
1782230400000,-4.1042372953e-05
1782244800000,-5.15559693792e-05
1782259200000,5e-05
1782273600000,1.44442136149e-05
1782288000000,-2.22946064699e-05
1782302400000,-0.0001559308178933
1782316800000,-0.0001620370453649
1782331200000,-8.5493811504e-05
1782345600000,-0.0002586230321059
1782360000000,-7.08662444026e-05
1782374400000,-4.60173133348e-05
1782388800000,-0.0001265504815426
1782403200000,-2.36254192324e-05
1782417600000,-5.98419602704e-05
1782432000000,-6.70217609176e-05
1782446400000,5e-05
1782460800000,5e-05
1782475200000,-5.0250428723e-06
1782489600000,-4.9017824228e-05
1782504000000,1.39912508402e-05
1782518400000,-6.48083389891e-05
1782532800000,-7.6911917572e-05
1782547200000,-1.11170168091e-05
1782561600000,-1.30924948798e-05
1782576000000,-1.95427271874e-05
1782590400000,8.0566761864e-06
1782604800000,5e-05
1782619200000,5e-05
1782633600000,1.02295820269e-05
1782648000000,-2.06745530221e-05
1782662400000,5e-05
1782676800000,-1.98291247826e-05
1782691200000,-8.30129406718e-05
1782705600000,1.91542656453e-05
1782720000000,-9.8998452538e-06
1782734400000,-8.790569995e-07
1782748800000,2.5447002835e-06
1782763200000,5e-05
1782777600000,5e-05
1782792000000,-2.08621185881e-05
1782806400000,5e-05
1782820800000,5.5674935898e-06
1782835200000,1.27882614342e-05
1782849600000,5e-05
1782864000000,5e-05
1782878400000,-6.33513745394e-05
1782892800000,3.04167624029e-05
1782907200000,5e-05
1782921600000,5e-05
1782936000000,-1.6818649963e-06
1782950400000,-1.5356070359e-06
1782964800000,2.17669373229e-05
1782979200000,5e-05
1782993600000,5e-05
1783008000000,5e-05
1783022400000,5e-05
1783036800000,5e-05
1783051200000,5e-05
1783065600000,5e-05
1783080000000,5e-05
1783094400000,5e-05
1783108800000,5e-05
1783123200000,5e-05
1783137600000,2.01765186097e-05
1783152000000,3.6589900567e-06
1783166400000,1.38660281695e-05
1783180800000,3.74723366767e-05
1783195200000,5e-05
1783209600000,5e-05
1783224000000,4.46350927243e-05
1783238400000,1.08203645498e-05
1783252800000,-2.0918638308e-05
1783267200000,-6.61106304019e-05
1783281600000,5e-05
1783296000000,5e-05
1783310400000,5e-05
1783324800000,1.37663033968e-05
1783339200000,5e-05
1783353600000,5e-05
1783368000000,5e-05
1783382400000,5e-05
1783396800000,5e-05
1783411200000,-3.73615573089e-05
1783425600000,5e-05
1783440000000,5e-05
1783454400000,5e-05
1783468800000,-3.40851363127e-05
1783483200000,-4.82443864274e-05
1783497600000,-2.99919014876e-05
1783512000000,-3.20209725547e-05
1783526400000,-6.11789668766e-05
1783540800000,4.78528962337e-05
1783555200000,1.66758078616e-05
1783569600000,-5.44597334648e-05
1783584000000,-2.17016068231e-05
1783598400000,5e-05
1783612800000,5e-05
1783627200000,5e-05
1783641600000,5e-05
1783656000000,5e-05
1783670400000,5e-05
1783684800000,5e-05
1783699200000,5e-05
1783713600000,5e-05
1783728000000,5e-05
1783742400000,5e-05
1783756800000,3.16020829838e-05
1783771200000,5e-05
1783785600000,5e-05
1783800000000,5e-05
1783814400000,4.12576779702e-05
1783828800000,2.0244819653e-05
1783843200000,9.5863875781e-06
1783857600000,4.67546419082e-05
1783872000000,-3.0959165469e-06
1783886400000,4.87368313725e-05
1783900800000,5e-05
1783915200000,1.68326954553e-05
1783929600000,-9.04316562596e-05
1783944000000,1.89271741233e-05
1783958400000,5e-05
1783972800000,5e-05
1783987200000,5e-05
1784001600000,5e-05
1784016000000,3.714362994e-05
1784030400000,3.60597570047e-05
1784044800000,2.1034845485e-06
1784059200000,4.48125193663e-05
1784073600000,5e-05
1784088000000,5e-05
1784102400000,5e-05
1784116800000,5e-05
1784131200000,4.06036819673e-05
1784145600000,1.23269168553e-05
1784160000000,1.31899455738e-05
1784174400000,5e-05
1784188800000,-1.7831795098e-05
1784203200000,3.05021724344e-05
1784217600000,-6.7121790412e-06
1784232000000,5e-05
1784246400000,5e-05
1784260800000,5e-05
1784275200000,5e-05
1784289600000,2.92426615442e-05
1784304000000,5e-05
1784318400000,5e-05
1784332800000,5e-05
1784347200000,5e-05
1784361600000,3.46896991615e-05
1784376000000,5e-05
1784390400000,5e-05
1784404800000,3.69704961179e-05
1784419200000,5e-05
1784433600000,5e-05
1784448000000,3.43839293156e-05
1784462400000,-3.00280084001e-05
1784476800000,5e-05
1784491200000,5e-05
1784505600000,5e-05
1784520000000,5e-05
1784534400000,5e-05
1784548800000,5e-05
1784563200000,5e-05
1784577600000,5e-05
1784592000000,4.06898103811e-05
1784606400000,7.698332227e-07
1784620800000,-0.0001004801692464
1784635200000,5e-05
1784649600000,5e-05
1784664000000,5e-05
1784678400000,5e-05
1784692800000,5e-05
1784707200000,5e-05
1784721600000,3.03309606749e-05
1784736000000,5e-05
1784750400000,4.85401217506e-05
1784764800000,5e-05
1784779200000,5e-05
1784793600000,5e-05
